Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
NC_018788.1	569	637	MT	plus	tRNA-Phe		0	other				
NC_018788.1	638	1588	MT	plus	s-rRNA		0	other				
NC_018788.1	1590	1657	MT	plus	tRNA-Val		0	other				
NC_018788.1	1658	3225	MT	plus	l-rRNA		0	other				
NC_018788.1	3227	3299	MT	plus	tRNA-Leu		0	other				
NC_018788.1	3301	4257	MT	plus	NADH dehydrogenase subunit 1	ND1	13826446	protein-coding		YP_006883654.1	318	
NC_018788.1	4257	4324	MT	minus	tRNA-Ile		0	other				
NC_018788.1	4322	4392	MT	plus	tRNA-Gln		0	other				
NC_018788.1	4392	4459	MT	plus	tRNA-Met		0	other				
NC_018788.1	4461	5504	MT	plus	NADH dehydrogenase subunit 2	ND2	13826439	protein-coding		YP_006883655.1	347	
NC_018788.1	5506	5574	MT	minus	tRNA-Ala		0	other				
NC_018788.1	5580	5643	MT	minus	tRNA-Cys		0	other				
NC_018788.1	5649	5718	MT	plus	tRNA-Trp		0	other				
NC_018788.1	5800	5871	MT	minus	tRNA-Asn		0	other				
NC_018788.1	5878	5941	MT	minus	tRNA-Tyr		0	other				
NC_018788.1	5943	7484	MT	plus	cytochrome c oxidase subunit I	COX1	13826440	protein-coding		YP_006883656.1	513	
NC_018788.1	7490	7558	MT	minus	tRNA-Ser		0	other				
NC_018788.1	7562	7631	MT	plus	tRNA-Asp		0	other				
NC_018788.1	7634	8315	MT	plus	cytochrome c oxidase subunit II	COX2	13826435	protein-coding		YP_006883657.1	227	
NC_018788.1	8316	8377	MT	plus	tRNA-Lys		0	other				
NC_018788.1	8377	8585	MT	plus	ATP synthase F0 subunit 8	ATP8	13826437	protein-coding		YP_006883658.1	69	
NC_018788.1	8541	9221	MT	plus	ATP synthase F0 subunit 6	ATP6	13826434	protein-coding		YP_006883659.1	226	
NC_018788.1	9257	10040	MT	plus	cytochrome c oxidase subunit III	COX3	13826436	protein-coding		YP_006883660.1	261	
NC_018788.1	10041	10108	MT	plus	tRNA-Gly		0	other				
NC_018788.1	10109	10454	MT	plus	NADH dehydrogenase subunit 3	ND3	13826438	protein-coding		YP_006883661.1	115	
NC_018788.1	10455	10523	MT	plus	tRNA-Arg		0	other				
NC_018788.1	10524	10820	MT	plus	NADH dehydrogenase subunit 4L	ND4L	13826441	protein-coding		YP_006883662.1	98	
NC_018788.1	10814	12191	MT	plus	NADH dehydrogenase subunit 4	ND4	13826443	protein-coding		YP_006883663.1	459	
NC_018788.1	12192	12260	MT	plus	tRNA-His		0	other				
NC_018788.1	12260	12319	MT	plus	tRNA-Ser		0	other				
NC_018788.1	12320	12390	MT	plus	tRNA-Leu		0	other				
NC_018788.1	12391	14199	MT	plus	NADH dehydrogenase subunit 5	ND5	13826442	protein-coding		YP_006883664.1	602	
NC_018788.1	14200	14700	MT	minus	NADH dehydrogenase subunit 6	ND6	13826444	protein-coding		YP_006883665.1	166	
NC_018788.1	14704	14771	MT	minus	tRNA-Glu		0	other				
NC_018788.1	14775	15920	MT	plus	cytochrome b	CYTB	13826445	protein-coding		YP_006883666.1	381	
NC_018788.1	15921	15988	MT	plus	tRNA-Thr		0	other				
NC_018788.1	15991	16057	MT	minus	tRNA-Pro		0	other				
NC_045426.1	67574	82408	1	plus	zinc finger protein 420-like isoform X1	LOC100919053	100919053	protein-coding	XM_023498450.2	XP_023354218.1	727	
NC_045426.1	118630	146019	1	minus	zinc finger protein 436-like	LOC116420914	116420914	protein-coding	XM_031949151.1	XP_031805011.1	530	
NC_045426.1	146279	157252	1	plus	zinc finger protein 2 homolog	LOC105749646	105749646	protein-coding	XM_031949152.1	XP_031805012.1	525	
NC_045426.1	166669	174028	1	minus	zinc finger protein 260-like	LOC100918791	100918791	protein-coding	XM_031951165.1	XP_031807025.1	721	
NC_045426.1	200142	208017	1	minus	zinc finger protein 525-like	LOC116421482	116421482	protein-coding	XM_031951174.1	XP_031807034.1	352	
NC_045426.1	226073	241342	1	minus	zinc finger protein 420	LOC100922713	100922713	protein-coding	XM_031951170.1	XP_031807030.1	623	
NC_045426.1	242557	269484	1	minus	zinc finger protein 568-like	LOC111718993	111718993	protein-coding	XM_031949153.1	XP_031805013.1	316	
NC_045426.1	309279	315841	1	minus	zinc finger protein 501-like	LOC100913756	100913756	protein-coding	XM_031951184.1	XP_031807044.1	488	
NC_045426.1	343433	374169	1	minus	zinc finger protein 260-like	LOC105749010	105749010	protein-coding	XM_031949154.1	XP_031805014.1	805	
NC_045426.1	382183	395310	1	minus	zinc finger protein OZF-like	LOC105749000	105749000	protein-coding	XM_031951193.1	XP_031807053.1	454	
NC_045426.1	407899	439484	1	minus	kinetochore protein Nuf2	NUF2	100913492	protein-coding	XM_003762680.4	XP_003762728.1	460	
NC_045426.1	455058	478976	1	plus	uncharacterized protein LOC111719491	LOC111719491	111719491	protein-coding	XM_031949155.1	XP_031805015.1	516	
NC_045426.1	456287	461061	1	minus	calcineurin B homologous protein 2	CHP2	100930591	protein-coding	XM_031951225.1	XP_031807085.1	195	
NC_045426.1	521665	524404	1	plus	BET1 homolog	BET1	111719490	protein-coding	XM_031951247.1	XP_031807107.1	116	
NC_045426.1	525458	556685	1	minus	probable acyl-CoA dehydrogenase 6	LOC116421488	116421488	protein-coding	XM_031951232.1	XP_031807092.1	439	
NC_045426.1	546193	550162	1	plus	uncharacterized LOC116421492	LOC116421492	116421492	lncRNA	XR_004231867.1			
NC_045426.1	556814	562891	1	minus	guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-11 isoform X2	LOC100920799	100920799	protein-coding	XM_012544154.3	XP_012399608.1	73	
NC_045426.1	563058	567815	1	minus	guanine nucleotide-binding protein G(T) subunit gamma-T1	GNGT1	100920537	protein-coding	XM_003763075.3	XP_003763123.1	74	
NC_045426.1	596994	602889	1	plus	tissue factor pathway inhibitor 2	TFPI2	111719578	protein-coding	XM_031949157.1	XP_031805017.1	408	
NC_045426.1	724693	764127	1	plus	LOW QUALITY PROTEIN: calcitonin receptor	CALCR	105749785	protein-coding	XM_031951288.1	XP_031807148.1	467	
NC_045426.1	766891	771478	1	plus	proline-rich protein 2-like	LOC116420915	116420915	protein-coding	XM_031949158.1	XP_031805018.1	198	
NC_045426.1	772410	803671	1	minus	LOW QUALITY PROTEIN: syndetin	VPS50	100935374	protein-coding	XM_031949159.1	XP_031805019.1	899	
NC_045426.1	819624	831182	1	plus	HEPACAM family member 2	HEPACAM2	116420916	protein-coding	XM_031949160.1	XP_031805020.1	391	
NC_045426.1	842816	872353	1	minus	upstream-binding protein 1 isoform X1	UBP1	100929726	protein-coding	XM_031951296.1	XP_031807156.1	562	
NC_045426.1	908715	995092	1	minus	CLIP-associating protein 2	CLASP2	111718501	protein-coding	XM_031949161.1	XP_031805021.1	1731	
NC_045426.1	1012835	1031154	1	plus	programmed cell death 6-interacting protein	PDCD6IP	100929214	protein-coding	XM_031951362.1	XP_031807222.1	877	
NC_045426.1	1031609	1038422	1	minus	collagen alpha-1(I) chain-like	LOC116420917	116420917	protein-coding	XM_031949162.1	XP_031805022.1	498	
NC_045426.1	1086668	1088184	1	plus	uncharacterized LOC100926730, transcript variant X2	LOC100926730	100926730	misc_RNA	XR_004231876.1			
NC_045426.1	1708552	1717814	1	minus	uncharacterized gene	LOC100928271	100928271	pseudogene				
NC_045426.1	1892045	2030815	1	plus	cAMP-regulated phosphoprotein 21 isoform X1	ARPP21	100923237	protein-coding	XM_031951380.1	XP_031807240.1	835	
NC_045426.1	2328675	2388289	1	plus	SH3 and cysteine-rich domain-containing protein isoform X1	STAC	100921148	protein-coding	XM_023498519.2	XP_023354287.2	442	
NC_045426.1	2394206	2396970	1	minus	uncharacterized protein DDB_G0271670-like	LOC116421873	116421873	protein-coding	XM_031955937.1	XP_031811797.1	436	
NC_045426.1	2423781	2448863	1	minus	serine/threonine-protein kinase DCLK3	DCLK3	116421955	protein-coding	XM_031956959.1	XP_031812819.1	790	
NC_045426.1	2465202	2495484	1	minus	LOW QUALITY PROTEIN: TPR and ankyrin repeat-containing protein 1	TRANK1	100921414	protein-coding	XM_031957530.1	XP_031813390.1	3087	
NC_045426.1	2538209	2540360	1	plus	protein BTG2-like	LOC116421506	116421506	protein-coding	XM_031951495.1	XP_031807355.1	156	
NC_045426.1	2550434	2575309	1	plus	inositol-pentakisphosphate 2-kinase	IPPK	105749786	protein-coding	XM_031958552.1	XP_031814412.1	506	
NC_045426.1	2576119	2697544	1	minus	centromere protein P	CENPP	100926987	protein-coding	XM_031959418.1	XP_031815278.1	400	
NC_045426.1	2605070	2622192	1	plus	extracellular matrix protein 2 isoform X1	ECM2	100934074	protein-coding	XM_031951505.1	XP_031807365.1	567	
NC_045426.1	2629479	2653466	1	plus	asporin	ASPN	100933295	protein-coding	XM_031951541.1	XP_031807401.1	375	
NC_045426.1	2655504	2667116	1	plus	osteomodulin	OMD	100933556	protein-coding	XM_031951535.1	XP_031807395.1	415	
NC_045426.1	2670399	2679110	1	plus	mimecan isoform X1	OGN	100933811	protein-coding	XM_031951558.1	XP_031807418.1	285	
NC_045426.1	2697935	2709939	1	plus	LOW QUALITY PROTEIN: nucleolar protein 8	NOL8	111719638	protein-coding	XM_031960322.1	XP_031816182.1	1092	
NC_045426.1	2710907	2731306	1	plus	isoleucine--tRNA ligase, cytoplasmic	IARS1	100916711	protein-coding	XM_031951569.1	XP_031807429.1	1261	
NC_045426.1	2711527	2711662	1	plus	small nucleolar RNA SNORA84	LOC116420921	116420921	snoRNA	XR_004231351.1			
NC_045426.1	2732222	2734386	1	minus	MAP7 domain-containing protein 1	LOC111719609	111719609	protein-coding	XM_031951580.1	XP_031807440.1	139	
NC_045426.1	2737659	2783747	1	minus	pituitary adenylate cyclase-activating polypeptide type I receptor isoform X1	ADCYAP1R1	105749702	protein-coding	XM_031951593.1	XP_031807453.1	514	
NC_045426.1	2940540	2954849	1	minus	collagen alpha-1(I) chain-like	LOC116422491	116422491	protein-coding	XM_031961162.1	XP_031817022.1	787	
NC_045426.1	2987707	3084953	1	minus	probable ubiquitin carboxyl-terminal hydrolase MINDY-4 isoform X1	MINDY4	100934945	protein-coding	XM_031951621.1	XP_031807481.1	860	
NC_045426.1	3113521	3119959	1	plus	uncharacterized LOC116421514	LOC116421514	116421514	lncRNA	XR_004231903.1			
NC_045426.1	3163719	3237977	1	plus	corticotropin-releasing factor receptor 2	LOC100932343	100932343	protein-coding	XM_031961786.1	XP_031817646.1	562	
NC_045426.1	3246515	3264692	1	minus	glycine--tRNA ligase	GARS1	100932085	protein-coding	XM_031962689.1	XP_031818549.1	602	
NC_045426.1	3302517	3352090	1	plus	CTD small phosphatase-like protein	CTDSPL	100921149	protein-coding	XM_031963691.1	XP_031819551.1	523	
NC_045426.1	3374817	3393504	1	plus	LOW QUALITY PROTEIN: villin-like protein	VILL	100933640	protein-coding	XM_031964461.1	XP_031820321.1	1095	
NC_045426.1	3393612	3448122	1	minus	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-1 isoform X1	PLCD1	100933386	protein-coding	XM_031951646.1	XP_031807506.1	771	
NC_045426.1	3459851	3509331	1	plus	deleted in lung and esophageal cancer protein 1	DLEC1	100933124	protein-coding	XM_031965277.1	XP_031821137.1	1934	
NC_045426.1	3509371	3520650	1	minus	3-ketoacyl-CoA thiolase, peroxisomal	ACAA1	100932858	protein-coding	XM_031951658.1	XP_031807518.1	428	
NC_045426.1	3521309	3522591	1	minus	uncharacterized LOC116421519	LOC116421519	116421519	lncRNA	XR_004231907.1			
NC_045426.1	3530781	3559187	1	minus	homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 2 protein isoform X1	HERPUD2	100932597	protein-coding	XM_031951668.1	XP_031807528.1	415	
NC_045426.1	3568277	3569095	1	minus	uncharacterized gene	LOC100932341	100932341	pseudogene				
NC_045426.1	3572302	3573646	1	minus	uncharacterized gene	LOC100932084	100932084	pseudogene				
NC_045426.1	3581016	3582192	1	minus	uncharacterized gene	LOC100931826	100931826	pseudogene				
