Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
NC_086019.1	43201	45926	1	minus	zinc finger protein 431-like	LOC134485287	134485287	protein-coding	XM_063281056.1	XP_063137126.1	567	
NC_086019.1	46449	62568	1	minus	zinc finger protein 431-like	LOC134484926	134484926	protein-coding	XM_063280774.1	XP_063136844.1	75	
NC_086019.1	67755	73810	1	minus	uncharacterized LOC108352169	LOC108352169	108352169	lncRNA	XR_005497078.2			
NC_086019.1	103314	112335	1	plus	vomeronasal 2, receptor 116 like, pseudogene 25	Vmn2r116l-ps25	100911926	pseudogene				
NC_086019.1	164376	175234	1	plus	vomeronasal 2 receptor, 1	Vom2r1	678740	protein-coding	NM_001099461.2	NP_001092931.2	838	
NC_086019.1	215939	221071	1	minus	zinc finger protein 431-like	LOC134478860	134478860	pseudogene				
NC_086019.1	241406	248880	1	minus	uncharacterized LOC100910337	LOC100910337	100910337	lncRNA	XR_005497150.2			
NC_086019.1	280356	288987	1	minus	vomeronasal 2, receptor 116 like, pseudogene 2	Vmn2r116l-ps2	108349539	pseudogene				
NC_086019.1	316092	324862	1	minus	vomeronasal type-2 receptor 116-like	LOC134484837	134484837	protein-coding	XM_063280728.1	XP_063136798.1	815	
NC_086019.1	572503	581334	1	minus	vomeronasal 2, receptor 116 like, pseudogene 24	Vmn2r116l-ps24	100910123	pseudogene				
NC_086019.1	637388	649777	1	plus	vomeronasal 2 receptor, 65	Vom2r65	689403	protein-coding	NM_001099654.1	NP_001093124.1	846	
NC_086019.1	723489	730316	1	minus	zinc finger protein 431-like	LOC134485288	134485288	protein-coding	XM_063281057.1	XP_063137127.1	514	
NC_086019.1	759287	760200	1	minus	uncharacterized LOC134484838	LOC134484838	134484838	lncRNA	XR_010062648.1			
NC_086019.1	798465	807289	1	plus	vomeronasal 2 receptor, pseudogene 112	Vom2r-ps112	308240	pseudogene				
NC_086019.1	941744	954128	1	minus	vomeronasal type-2 receptor 116-like	LOC134484839	134484839	pseudogene				
NC_086019.1	1011671	1020443	1	plus	vomeronasal type-2 receptor 116-like	LOC134484840	134484840	protein-coding	XM_063280733.1	XP_063136803.1	815	
NC_086019.1	1047517	1056150	1	plus	vomeronasal type-2 receptor 116-like	LOC134484841	134484841	pseudogene				
NC_086019.1	1097977	1120538	1	plus	zinc finger protein 950 like 14	Zfp950l14	102548076	protein-coding	XM_039098348.2	XP_038954276.2	617	
NC_086019.1	1161240	1172103	1	minus	vomeronasal 2 receptor, 2	Vom2r2	292438	protein-coding	NM_001099457.2	NP_001092927.2	646	
NC_086019.1	1224189	1232989	1	minus	vomeronasal type-2 receptor 116-like	LOC134484929	134484929	pseudogene				
NC_086019.1	1262354	1292645	1	plus	Zinc finger protein 431like	Znf431l	102548633	protein-coding	XM_063280779.1	XP_063136849.1	685	
NC_086019.1	1313567	1318035	1	plus	uncharacterized LOC134484842	LOC134484842	134484842	lncRNA	XR_010062649.1			
NC_086019.1	1327185	1329715	1	plus	zinc finger protein 431-like	LOC134484930	134484930	protein-coding	XM_063280781.1	XP_063136851.1	102	
NC_086019.1	1330069	1332738	1	plus	zinc finger protein 431-like	LOC134478871	134478871	pseudogene				
NC_086019.1	1366829	1383219	1	plus	zinc finger protein 431-like	LOC103690914	103690914	protein-coding	XM_039098330.2	XP_038954258.2	64	
NC_086019.1	1384146	1385756	1	plus	zinc finger protein 431-like	LOC134485289	134485289	protein-coding	XM_063281058.1	XP_063137128.1	511	
NC_086019.1	1453737	1466124	1	minus	vomeronasal type-2 receptor 116-like	LOC134484843	134484843	pseudogene				
NC_086019.1	1523665	1532524	1	plus	vomeronasal type-2 receptor 116-like	LOC134484844	134484844	pseudogene				
NC_086019.1	1559585	1568163	1	plus	vomeronasal 2 receptor, pseudogene 3	Vom2r-ps3	678720	pseudogene				
NC_086019.1	1610003	1632567	1	plus	zinc finger protein 431-like	LOC134484927	134484927	protein-coding	XM_063280775.1	XP_063136845.1	617	
NC_086019.1	1673235	1684072	1	minus	vomeronasal type-2 receptor 116-like	LOC134484928	134484928	protein-coding	XM_063280777.1	XP_063136847.1	841	
NC_086019.1	1724273	1732977	1	plus	vomeronasal 2 receptor, pseudogene 4	Vom2r-ps4	679521	pseudogene				
NC_086019.1	1760833	1769659	1	minus	vomeronasal 2 receptor, pseudogene 5	Vom2r-ps5	679542	pseudogene				
NC_086019.1	1790377	1809014	1	plus	zinc finger protein 1007 like 2	Zfp1007l2	102556098	protein-coding	XM_039098347.1	XP_038954275.1	634	
NC_086019.1	1845251	1849409	1	plus	zinc finger protein 748, pseudogene 3	Zfp748-ps3	120093148	protein-coding	XM_063280738.1	XP_063136808.1	627	
NC_086019.1	1904832	1905715	1	minus	vomeronasal 2 receptor, pseudogene 9	Vom2r-ps9	679720	pseudogene				
