Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
NW_005871048.1	36429	37005		plus	uncharacterized gene	LOC102416907	102416907	pseudogene				
NW_005871048.1	41393	46628		plus	acetylcholinesterase isoform X3	ACHE	102417217	protein-coding	XM_014452424.2	XP_014307910.1	755	
NW_005871048.1	46686	47889		plus	inactive Ufm1-specific protease 1	UFSP1	102417961	protein-coding	XM_006081506.2	XP_006081568.1	280	
NW_005871048.1	47952	60526		minus	serrate RNA effector molecule homolog isoform X3	SRRT	102417534	protein-coding	XM_006081005.3	XP_006081067.1	872	
NW_005871048.1	62823	65997		minus	thyroid receptor-interacting protein 6 isoform X1	TRIP6	102418489	protein-coding	XM_023757454.1	XP_023613222.1	420	
NW_005871048.1	66774	75437		minus	solute carrier family 12 member 9	SLC12A9	102418283	protein-coding	XM_023753874.1	XP_023609642.1	782	
NW_005871048.1	77860	77923		minus	small nucleolar RNA SNORD43	LOC111825564	111825564	snoRNA	XR_002828757.1			
NW_005871048.1	98783	114421		plus	ephrin type-B receptor 4 isoform X1	EPHB4	102419021	protein-coding	XM_006081008.3	XP_006081070.1	987	
NW_005871048.1	116511	144597		minus	LOW QUALITY PROTEIN: zonadhesin	ZAN	102418601	protein-coding	XM_014453436.1	XP_014308922.1	1989	
NW_005871048.1	153891	162445		minus	erythropoietin isoform X1	EPO	102419335	protein-coding	XM_014459537.2	XP_014315023.1	213	
NW_005871048.1	166516	180350		minus	ribonuclease P protein subunit p20 isoform X2	POP7	102419643	protein-coding	XM_006081010.3	XP_006081072.1	140	
NW_005871048.1	182654	194751		plus	GRB10-interacting GYF protein 1 isoform X1	GIGYF1	102420168	protein-coding	XM_014457406.2	XP_014312892.1	1031	
NW_005871048.1	195269	200313		minus	guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2	GNB2	102420482	protein-coding	XM_006081014.3	XP_006081076.1	340	
NW_005871048.1	208389	221581		plus	actin-like protein 6B	ACTL6B	102421007	protein-coding	XM_006081016.2	XP_006081078.1	426	
NW_005871048.1	222993	234686		plus	transferrin receptor protein 2	TFR2	102421921	protein-coding	XM_023744504.1	XP_023600272.1	805	
NW_005871048.1	239800	243801		minus	motile sperm domain-containing protein 3	MOSPD3	102418916	protein-coding	XM_006081509.2	XP_006081571.1	296	
NW_005871048.1	245287	250451		minus	procollagen C-endopeptidase enhancer 1	PCOLCE	102422717	protein-coding	XM_006081022.3	XP_006081084.1	470	
NW_005871048.1	251434	261498		minus	F-box only protein 24	FBXO24	102422218	protein-coding	XM_023754057.1	XP_023609825.1	522	
NW_005871048.1	261943	272994		plus	leucine-rich repeat and calponin homology domain-containing protein 4 isoform X3	LRCH4	102423321	protein-coding	XM_006081023.3	XP_006081085.2	686	
NW_005871048.1	273092	274944		plus	histone deacetylase complex subunit SAP25 isoform X2	SAP25	102423019	protein-coding	XM_014467275.2	XP_014322761.1	325	
NW_005871048.1	281603	305993		minus	arf-GAP domain and FG repeat-containing protein 2 isoform X1	AGFG2	102423623	protein-coding	XM_006081024.3	XP_006081086.1	490	
NW_005871048.1	327909	328056		minus	U4 spliceosomal RNA	LOC111825641	111825641	snRNA	XR_002828822.1			
NW_005871048.1	341977	349941		minus	LOW QUALITY PROTEIN: neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adapter 1	NYAP1	102424127	protein-coding	XM_006081026.3	XP_006081088.1	839	
NW_005871048.1	352915	364089		plus	TSC22 domain family protein 4	TSC22D4	102419239	protein-coding	XM_023754108.1	XP_023609876.1	459	
NW_005871048.1	364325	381113		plus	uncharacterized protein C7orf61 homolog isoform X1	CUNH7orf61	111827148	protein-coding	XM_023758758.1	XP_023614526.1	185	
NW_005871048.1	386504	387765		plus	protein phosphatase 1 regulatory subunit 35 isoform X2	PPP1R35	102424437	protein-coding	XM_006081027.3	XP_006081089.1	284	
NW_005871048.1	388948	394191		minus	LOW QUALITY PROTEIN: 7SK snRNA methylphosphate capping enzyme	MEPCE	102424749	protein-coding	XM_006081028.3	XP_006081090.1	686	
NW_005871048.1	394661	467571		plus	zinc finger CW-type PWWP domain protein 1	ZCWPW1	102419855	protein-coding	XM_023754164.1	XP_023609932.1	672	
NW_005871048.1	470267	471950		minus	LOW QUALITY PROTEIN: transmembrane protein PVRIG	PVRIG	102425063	protein-coding	XM_006081029.3	XP_006081091.1	323	
NW_005871048.1	478181	478653		minus	uncharacterized gene	LOC102425375	102425375	pseudogene				
NW_005871048.1	480799	507237		minus	cohesin subunit SA-3	STAG3	102425699	protein-coding	XM_006081030.3	XP_006081092.1	1221	
NW_005871048.1	508894	515350		plus	glypican-2	GPC2	102426012	protein-coding	XM_006081031.3	XP_006081093.1	574	
NW_005871048.1	516025	521810		plus	galactose-3-O-sulfotransferase 4 isoform X1	GAL3ST4	102426643	protein-coding	XM_006081033.3	XP_006081095.1	486	
NW_005871048.1	521897	526549		plus	LOW QUALITY PROTEIN: uncharacterized protein C7orf43 homolog	CUNH7orf43	102426324	protein-coding	XM_006081032.3	XP_006081094.1	573	
NW_005871048.1	526792	530719		minus	ragulator complex protein LAMTOR4 isoform X1	LAMTOR4	102426954	protein-coding	XM_006081034.3	XP_006081096.1	99	
NW_005871048.1	535365	536956		plus	uncharacterized gene	LOC111826148	111826148	pseudogene				
NW_005871048.1	546773	548694		minus	uncharacterized gene	LOC102420169	102420169	pseudogene				
NW_005871048.1	553585	616255		plus	NXPE family member 3-like isoform X1	LOC102427567	102427567	protein-coding	XM_023759196.1	XP_023614964.1	544	
NW_005871048.1	555947	556053		minus	U6 spliceosomal RNA	LOC111825673	111825673	snRNA	XR_002828868.1			
NW_005871048.1	631684	648208		plus	NXPE family member 3-like	LOC102427270	102427270	protein-coding	XM_023759304.1	XP_023615072.1	576	
NW_005871048.1	651660	652346		plus	uncharacterized gene	LOC102420484	102420484	pseudogene				
NW_005871048.1	656976	661838		plus	paired immunoglobulin-like type 2 receptor alpha isoform X2	LOC102420810	102420810	protein-coding	XM_014451680.2	XP_014307166.1	227	
NW_005871048.1	675504	676649		minus	metallo-beta-lactamase domain-containing protein 1	MBLAC1	102427889	protein-coding	XM_006081037.3	XP_006081099.1	281	
NW_005871048.1	677854	681833		minus	protein canopy homolog 4	CNPY4	102428209	protein-coding	XM_006081038.3	XP_006081100.1	281	
NW_005871048.1	682055	684862		plus	uncharacterized LOC106696342, transcript variant X3	LOC106696342	106696342	lncRNA	XR_001347296.2			
NW_005871048.1	686900	690583		plus	transcription initiation factor TFIID subunit 6	TAF6	102421112	protein-coding	XM_023754376.1	XP_023610144.1	463	
NW_005871048.1	690555	694709		minus	AP-4 complex subunit mu-1 isoform X2	AP4M1	102429438	protein-coding	XM_014451951.2	XP_014307437.1	453	
NW_005871048.1	694710	702282		plus	DNA replication licensing factor MCM7 isoform X1	MCM7	102428518	protein-coding	XM_006081039.2	XP_006081101.1	719	
NW_005871048.1	702910	705817		minus	COP9 signalosome complex subunit 6	COPS6	102429737	protein-coding	XM_006081044.3	XP_006081106.1	327	
NW_005871048.1	712150	722968		plus	zinc finger protein 3	ZNF3	102434955	protein-coding	XM_014453771.2	XP_014309257.1	446	
NW_005871048.1	737449	787739		minus	LOW QUALITY PROTEIN: zinc finger protein with KRAB and SCAN domains 1	LOC102421416	102421416	protein-coding	XM_014453121.2	XP_014308607.2	1069	
NW_005871048.1	751261	753566		plus	uncharacterized LOC111828047	LOC111828047	111828047	lncRNA	XR_002831811.1			
NW_005871048.1	794064	794922		minus	uncharacterized gene	LOC102434436	102434436	pseudogene				
NW_005871048.1	814608	822503		minus	zinc-alpha-2-glycoprotein-like	LOC102434116	102434116	protein-coding	XM_006081058.3	XP_006081120.1	297	
NW_005871048.1	837333	843875		minus	LOW QUALITY PROTEIN: zinc-alpha-2-glycoprotein-like	LOC102433807	102433807	protein-coding	XM_014454316.2	XP_014309802.1	296	
NW_005871048.1	860625	867466		minus	zinc-alpha-2-glycoprotein-like	LOC102433502	102433502	protein-coding	XM_023754497.1	XP_023610265.1	243	
NW_005871048.1	872359	891923		plus	gap junction gamma-3 protein	GJC3	102432772	protein-coding	XM_014454461.2	XP_014309947.1	263	
NW_005871048.1	895398	917979		plus	E3 ubiquitin-protein ligase TRIM4	TRIM4	102421709	protein-coding	XM_023762846.1	XP_023618614.1	356	
NW_005871048.1	939757	959347		minus	cytochrome P450 3A12-like	LOC111827801	111827801	protein-coding	XM_023761936.1	XP_023617704.1	393	
NW_005871048.1	1004937	1039654		minus	cytochrome P450 3A12-like	LOC102432464	102432464	protein-coding	XM_006081053.3	XP_006081115.1	503	
NW_005871048.1	1057494	1099162		minus	cytochrome P450 3A12-like isoform X1	LOC102432141	102432141	protein-coding	XM_006081052.3	XP_006081114.1	503	
NW_005871048.1	1130507	1131499		plus	olfactory receptor 1361-like	LOC102422321	102422321	protein-coding	XM_006081517.3	XP_006081579.1	330	
NW_005871048.1	1136523	1154305		minus	zinc finger and SCAN domain-containing protein 25 isoform X1	ZSCAN25	102431818	protein-coding	XM_006081051.3	XP_006081113.1	541	
NW_005871048.1	1154186	1169532		minus	transmembrane protein 225B	TMEM225B	102422622	protein-coding	XM_006081518.3	XP_006081580.1	274	
NW_005871048.1	1178582	1196042		minus	zinc finger protein 655 isoform X3	ZNF655	102430872	protein-coding	XM_006081048.3	XP_006081110.1	542	
NW_005871048.1	1210578	1230416		minus	zinc finger protein with KRAB and SCAN domains 5 isoform X1	ZKSCAN5	102430352	protein-coding	XM_014452318.2	XP_014307804.1	820	
NW_005871048.1	1234985	1265995		plus	zinc finger protein 394 isoform X1	ZNF394	102430043	protein-coding	XM_006081045.3	XP_006081107.1	550	
NW_005871048.1	1248468	1265818		minus	zinc finger protein 789 isoform X1	ZNF789	102422919	protein-coding	XM_023761275.1	XP_023617043.1	472	
NW_005871048.1	1265929	1275306		plus	ATP synthase subunit f, mitochondrial	ATP5MF	102435261	protein-coding	XM_006081060.3	XP_006081122.2	88	
NW_005871048.1	1271495	1271614		plus	small nucleolar RNA SNORA43	LOC111825589	111825589	snoRNA	XR_002828781.1			
NW_005871048.1	1276055	1288304		minus	cleavage and polyadenylation specificity factor subunit 4 isoform X8	CPSF4	102423222	protein-coding	XM_014454585.2	XP_014310071.1	216	
NW_005871048.1	1290701	1307889		plus	pentatricopeptide repeat-containing protein 1, mitochondrial isoform X2	LOC102436709	102436709	protein-coding	XM_006081064.3	XP_006081126.1	709	
NW_005871048.1	1296368	1302951		minus	uncharacterized LOC111828056	LOC111828056	111828056	lncRNA	XR_002831817.1			
NW_005871048.1	1307397	1318545		minus	protein BUD31 homolog	BUD31	102436391	protein-coding	XM_006081063.3	XP_006081125.1	144	
NW_005871048.1	1318705	1334726		plus	28 kDa heat- and acid-stable phosphoprotein	PDAP1	102436090	protein-coding	XM_006081062.3	XP_006081124.1	182	
NW_005871048.1	1335823	1347629		minus	actin-related protein 2/3 complex subunit 1B	ARPC1B	102435769	protein-coding	XM_006081061.3	XP_006081123.1	371	
NW_005871048.1	1354671	1382124		minus	actin-related protein 2/3 complex subunit 1A	ARPC1A	102437015	protein-coding	XM_006081065.3	XP_006081127.1	370	
NW_005871048.1	1391139	1445980		minus	myosin-16	LOC102437321	102437321	protein-coding	XM_006081066.3	XP_006081128.1	1945	
NW_005871048.1	1393011	1400021		plus	uncharacterized LOC106696994, transcript variant X2	LOC106696994	106696994	lncRNA	XR_002831869.1			
NW_005871048.1	1501978	1503646		minus	uncharacterized gene	LOC106696664	106696664	pseudogene				
NW_005871048.1	1509390	1511145		plus	uncharacterized gene	LOC111826239	111826239	pseudogene				
NW_005871048.1	1525759	1529460		minus	uncharacterized gene	LOC102437630	102437630	pseudogene				
NW_005871048.1	1543465	1562869		minus	isochorismatase domain-containing protein 1 isoform X2	ISOC1	102423519	protein-coding	XM_014455239.2	XP_014310725.1	235	
NW_005871048.1	1590903	1642297		minus	long-chain fatty acid transport protein 6 isoform X2	SLC27A6	102437930	protein-coding	XM_006081067.3	XP_006081129.1	619	
NW_005871048.1	1994842	2237156		plus	LOW QUALITY PROTEIN: fibrillin-2	FBN2	102438241	protein-coding	XM_006081068.3	XP_006081130.1	2911	
NW_005871048.1	2312266	2405119		minus	LOW QUALITY PROTEIN: solute carrier family 12 member 2	SLC12A2	102438553	protein-coding	XM_006081069.3	XP_006081131.1	1208	
NW_005871048.1	2374569	2375177		minus	uncharacterized gene	LOC111828365	111828365	pseudogene				
NW_005871048.1	2406074	2410943		plus	uncharacterized LOC111824249	LOC111824249	111824249	lncRNA	XR_002827359.1			
NW_005871048.1	2538512	2724144		minus	LOW QUALITY PROTEIN: coiled-coil domain-containing protein 192	CCDC192	111826254	protein-coding	XM_023754702.1	XP_023610470.1	283	
NW_005871048.1	2747931	2748890		plus	uncharacterized gene	LOC102438854	102438854	pseudogene				
NW_005871048.1	2769117	2778821		minus	cortexin-3	CTXN3	102439160	protein-coding	XM_006081070.3	XP_006081132.1	81	
NW_005871048.1	2785240	2785897		plus	uncharacterized gene	LOC102439460	102439460	pseudogene				
NW_005871048.1	2863948	2891072		minus	protein PRRC1	PRRC1	102439792	protein-coding	XM_006081071.3	XP_006081133.1	458	
NW_005871048.1	2893153	2933112		plus	LOW QUALITY PROTEIN: Bardet-Biedl syndrome 5 protein	BBS5	102424752	protein-coding	XM_023754759.1	XP_023610527.1	288	
NW_005871048.1	2935484	3050695		minus	multiple epidermal growth factor-like domains protein 10	MEGF10	102440112	protein-coding	XM_023754822.1	XP_023610590.1	1143	
NW_005871048.1	3077300	3077406		plus	U6 spliceosomal RNA	LOC111825647	111825647	snRNA	XR_002828831.1			
NW_005871048.1	3089154	3180682		plus	uncharacterized gene	LOC102425067	102425067	pseudogene				
NW_005871048.1	3238708	3259000		plus	glutaredoxin-like protein C5orf63 homolog isoform X1	CUNH5orf63	102440634	protein-coding	XM_006081074.3	XP_006081136.1	115	
NW_005871048.1	3289656	3425354		plus	E3 ubiquitin-protein ligase MARCH3 isoform X1	MARCH3	102441148	protein-coding	XM_006081076.3	XP_006081138.1	253	
NW_005871048.1	3439914	3476133		minus	lamin-B1	LMNB1	102441654	protein-coding	XM_006081078.3	XP_006081140.1	586	
