Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
NC_000845.1	1176	1245	MT	plus	tRNA-Phe		64984645	tRNA				KEF22_t01
NC_000845.1	1246	2205	MT	plus	12S ribosomal RNA		64984631	rRNA				KEF22_r02
NC_000845.1	2206	2273	MT	plus	tRNA-Val		64984632	tRNA				KEF22_t02
NC_000845.1	2274	3844	MT	plus	16S ribosomal RNA		64984633	rRNA				KEF22_r01
NC_000845.1	3845	3919	MT	plus	tRNA-Leu		64984634	tRNA				KEF22_t03
NC_000845.1	3922	4876	MT	plus	NADH dehydrogenase subunit 1	ND1	808501	protein-coding		NP_008634.1	318	KEF22_p13
NC_000845.1	4877	4945	MT	plus	tRNA-Ile		64984622	tRNA				KEF22_t04
NC_000845.1	4943	5015	MT	minus	tRNA-Gln		64984635	tRNA				KEF22_t05
NC_000845.1	5017	5086	MT	plus	tRNA-Met		64984636	tRNA				KEF22_t06
NC_000845.1	5087	6128	MT	plus	NADH dehydrogenase subunit 2	ND2	808502	protein-coding		NP_008635.1	347	KEF22_p12
NC_000845.1	6129	6196	MT	plus	tRNA-Trp		64984623	tRNA				KEF22_t07
NC_000845.1	6203	6270	MT	minus	tRNA-Ala		64984637	tRNA				KEF22_t08
NC_000845.1	6272	6346	MT	minus	tRNA-Asn		64984638	tRNA				KEF22_t09
NC_000845.1	6379	6444	MT	minus	tRNA-Cys		64984639	tRNA				KEF22_t10
NC_000845.1	6444	6509	MT	minus	tRNA-Tyr		64984640	tRNA				KEF22_t11
NC_000845.1	6511	8055	MT	plus	cytochrome c oxidase subunit I	COX1	808503	protein-coding		NP_008636.1	514	KEF22_p11
NC_000845.1	8059	8129	MT	minus	tRNA-Ser		64984624	tRNA				KEF22_t12
NC_000845.1	8135	8202	MT	plus	tRNA-Asp		64984641	tRNA				KEF22_t13
NC_000845.1	8203	8890	MT	plus	cytochrome c oxidase subunit II	COX2	808504	protein-coding		NP_008637.1	229	KEF22_p10
NC_000845.1	8891	8957	MT	plus	tRNA-Lys		64984625	tRNA				KEF22_t14
NC_000845.1	8959	9162	MT	plus	ATP synthase F0 subunit 8	ATP8	808505	protein-coding		NP_008638.1	67	KEF22_p09
NC_000845.1	9120	9800	MT	plus	ATP synthase F0 subunit 6	ATP6	808506	protein-coding		NP_008639.1	226	KEF22_p08
NC_000845.1	9800	10583	MT	plus	cytochrome c oxidase subunit III	COX3	808507	protein-coding		NP_008640.1	261	KEF22_p07
NC_000845.1	10584	10652	MT	plus	tRNA-Gly		64984626	tRNA				KEF22_t15
NC_000845.1	10653	10998	MT	plus	NADH dehydrogenase subunit 3	ND3	808508	protein-coding		NP_008641.1	115	KEF22_p06
NC_000845.1	11000	11068	MT	plus	tRNA-Arg		64984627	tRNA				KEF22_t16
NC_000845.1	11069	11365	MT	plus	NADH dehydrogenase subunit 4L	ND4L	808509	protein-coding		NP_008642.1	98	KEF22_p05
NC_000845.1	11359	12736	MT	plus	NADH dehydrogenase subunit 4	ND4	808510	protein-coding		NP_008643.1	459	KEF22_p04
NC_000845.1	12737	12805	MT	plus	tRNA-His		64984628	tRNA				KEF22_t17
NC_000845.1	12806	12864	MT	plus	tRNA-Ser		64984642	tRNA				KEF22_t18
NC_000845.1	12865	12934	MT	plus	tRNA-Leu		64984643	tRNA				KEF22_t19
NC_000845.1	12935	14755	MT	plus	NADH dehydrogenase subunit 5	ND5	808511	protein-coding		NP_008644.1	606	KEF22_p03
NC_000845.1	14739	15266	MT	minus	NADH dehydrogenase subunit 6	ND6	808512	protein-coding		NP_008645.1	175	KEF22_p02
NC_000845.1	15267	15335	MT	minus	tRNA-Glu		64984629	tRNA				KEF22_t20
NC_000845.1	15342	16481	MT	plus	cytochrome b	CYTB	808513	protein-coding		NP_008646.1	379	KEF22_p01
NC_000845.1	16482	16549	MT	plus	tRNA-Thr		64984630	tRNA				KEF22_t21
NC_000845.1	16550	16613	MT	minus	tRNA-Pro		64984644	tRNA				KEF22_t22
NC_010443.5	18	3870	1	plus	TATA-box-binding protein	LOC100125545	100125545	protein-coding	XM_021085497.1	XP_020941156.1	82	
NC_010443.5	5669	23675	1	minus	TATA-box-binding protein	TBP	110259740	protein-coding	XM_021085483.1	XP_020941142.1	269	
NC_010443.5	23827	40033	1	plus	proteasome subunit beta 1	PSMB1	100621969	protein-coding	NM_001244353.1	NP_001231282.1	241	
NC_010443.5	111957	113643	1	minus	uncharacterized gene	LOC100624421	100624421	pseudogene				
