Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
NC_000934.1	1	71	MT	plus	tRNA-Phe		0	other				
NC_000934.1	72	1031	MT	plus	s-rRNA		0	other				
NC_000934.1	1033	1099	MT	plus	tRNA-Val		0	other				
NC_000934.1	1101	2665	MT	plus	l-rRNA		0	other				
NC_000934.1	2666	2740	MT	plus	tRNA-Leu		0	other				
NC_000934.1	2741	3697	MT	plus	NADH dehydrogenase subunit 1	ND1	808794	protein-coding		NP_009279.1	318	
NC_000934.1	3696	3764	MT	minus	tRNA-Ile		0	other				
NC_000934.1	3762	3833	MT	plus	tRNA-Gln		0	other				
NC_000934.1	3836	3905	MT	plus	tRNA-Met		0	other				
NC_000934.1	3906	4949	MT	plus	NADH dehydrogenase subunit 2	ND2	808792	protein-coding		NP_009280.1	347	
NC_000934.1	4948	5014	MT	plus	tRNA-Trp		0	other				
NC_000934.1	5019	5086	MT	minus	tRNA-Ala		0	other				
NC_000934.1	5087	5160	MT	minus	tRNA-Asn		0	other				
NC_000934.1	5199	5263	MT	minus	tRNA-Cys		0	other				
NC_000934.1	5264	5327	MT	minus	tRNA-Tyr		0	other				
NC_000934.1	5329	6876	MT	plus	cytochrome c oxidase subunit I	COX1	808791	protein-coding		NP_009281.1	515	
NC_000934.1	6872	6940	MT	minus	tRNA-Ser		0	other				
NC_000934.1	6950	7018	MT	plus	tRNA-Asp		0	other				
NC_000934.1	7019	7703	MT	plus	cytochrome c oxidase subunit II	COX2	808790	protein-coding		NP_009282.1	228	
NC_000934.1	7704	7771	MT	plus	tRNA-Lys		0	other				
NC_000934.1	7772	7972	MT	plus	ATP synthase F0 subunit 8	ATP8	808789	protein-coding		NP_009283.1	66	
NC_000934.1	7933	8601	MT	plus	ATP synthase F0 subunit 6	ATP6	808788	protein-coding		NP_009284.2	222	
NC_000934.1	8601	9387	MT	plus	cytochrome c oxidase subunit III	COX3	808787	protein-coding		NP_009285.2	261	
NC_000934.1	9385	9453	MT	plus	tRNA-Gly		0	other				
NC_000934.1	9452	9803	MT	plus	NADH dehydrogenase subunit 3	ND3	808786	protein-coding		NP_009286.1	117	
NC_000934.1	9802	9868	MT	plus	tRNA-Arg		0	other				
NC_000934.1	9870	10166	MT	plus	NADH dehydrogenase subunit 4L	ND4L	808785	protein-coding		NP_009287.1	98	
NC_000934.1	10160	11537	MT	plus	NADH dehydrogenase subunit 4	ND4	808784	protein-coding		NP_009288.1	459	
NC_000934.1	11538	11606	MT	plus	tRNA-His		0	other				
NC_000934.1	11607	11665	MT	plus	tRNA-Ser		0	other				
NC_000934.1	11666	11735	MT	plus	tRNA-Leu		0	other				
NC_000934.1	11727	13547	MT	plus	NADH dehydrogenase subunit 5	ND5	808793	protein-coding		NP_009289.1	606	
NC_000934.1	13541	14068	MT	minus	NADH dehydrogenase subunit 6	ND6	808795	protein-coding		NP_009290.1	175	
NC_000934.1	14069	14136	MT	minus	tRNA-Glu		0	other				
NC_000934.1	14147	15283	MT	plus	cytochrome b	CYTB	808783	protein-coding		NP_009291.1	378	
NC_000934.1	15284	15349	MT	plus	tRNA-Thr		0	other				
NC_000934.1	15350	15417	MT	minus	tRNA-Pro		0	other				
NW_003573420.1	37099	534678		minus	LOW QUALITY PROTEIN: AT-rich interactive domain-containing protein 1B	ARID1B	100656075	protein-coding	XM_023545388.1	XP_023401156.1	1844	
NW_003573420.1	2146511	2211507		plus	NADPH oxidase 3	NOX3	100675143	protein-coding	XM_023546565.1	XP_023402333.1	626	
NW_003573420.1	2315357	2376211		plus	dimethyladenosine transferase 1, mitochondrial isoform X1	TFB1M	100668685	protein-coding	XM_003404263.3	XP_003404311.1	345	
NW_003573420.1	2356704	2362287		minus	claudin-20	CLDN20	100664611	protein-coding	XM_023545817.1	XP_023401585.1	220	
NW_003573420.1	2376236	2519172		minus	LOW QUALITY PROTEIN: T-lymphoma invasion and metastasis-inducing protein 2	TIAM2	100658818	protein-coding	XM_010586475.2	XP_010584777.1	1735	
NW_003573420.1	2726226	2727718		plus	uncharacterized gene	LOC100675423	100675423	pseudogene				
NW_003573420.1	2732937	2938889		minus	protein SCAF8 isoform X3	SCAF8	100675706	protein-coding	XM_003403954.3	XP_003404002.3	1268	
NW_003573420.1	3153982	3264150		plus	connector enhancer of kinase suppressor of ras 3	CNKSR3	100675990	protein-coding	XM_023546577.1	XP_023402345.1	512	
NW_003573420.1	3180757	3180828		plus	tRNA-Ala	TRNAA-AGC	111750471	tRNA				
NW_003573420.1	3306779	3538415		plus	interactor protein for cytohesin exchange factors 1 isoform X1	IPCEF1	111750077	protein-coding	XM_023545946.1	XP_023401714.1	490	
NW_003573420.1	3576644	3637059		minus	mu-type opioid receptor	OPRM1	104845742	protein-coding	XM_010588919.2	XP_010587221.1	401	
NW_003573420.1	3714850	3714981		minus	small nucleolar RNA SNORA72	LOC111750452	111750452	snoRNA	XR_002785582.1			
NW_003573420.1	4298528	4298634		minus	U6 spliceosomal RNA	LOC111750411	111750411	snRNA	XR_002785545.1			
NW_003573420.1	4728394	4848464		plus	regulator of G-protein signaling 17 isoform X1	RGS17	100655120	protein-coding	XM_003404030.3	XP_003404078.2	222	
NW_003573420.1	4856540	4869559		plus	peptide chain release factor 1-like, mitochondrial isoform X3	MTRF1L	100663940	protein-coding	XM_003404050.3	XP_003404098.1	380	
NW_003573420.1	4874567	4885633		plus	F-box only protein 5 isoform X1	FBXO5	100672960	protein-coding	XM_003404076.3	XP_003404124.2	469	
NW_003573420.1	5124254	5189104		minus	VIP peptides	VIP	100656647	protein-coding	XM_003404091.3	XP_003404139.1	170	
NW_003573420.1	5169304	5189259		minus	LOW QUALITY PROTEIN: myc target protein 1	MYCT1	100666882	protein-coding	XM_003404119.2	XP_003404167.2	234	
