Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
NC_002631.2	1	65	MT	plus	tRNA-Phe		64985672	tRNA				KEF70_t01
NC_002631.2	66	1022	MT	plus	12S ribosomal RNA		64985658	rRNA				KEF70_r02
NC_002631.2	1023	1088	MT	plus	tRNA-Val		64985659	tRNA				KEF70_t02
NC_002631.2	1089	2645	MT	plus	16S ribosomal RNA		64985660	rRNA				KEF70_r01
NC_002631.2	2646	2719	MT	plus	tRNA-Leu		64985661	tRNA				KEF70_t03
NC_002631.2	2720	3674	MT	plus	NADH dehydrogenase subunit 1	ND1	802330	protein-coding		NP_072057.1	318	KEF70_p13
NC_002631.2	3675	3743	MT	plus	tRNA-Ile		64985652	tRNA				KEF70_t04
NC_002631.2	3741	3811	MT	minus	tRNA-Gln		64985662	tRNA				KEF70_t05
NC_002631.2	3811	3878	MT	plus	tRNA-Met		64985663	tRNA				KEF70_t06
NC_002631.2	3879	4920	MT	plus	NADH dehydrogenase subunit 2	ND2	802331	protein-coding		NP_072058.1	347	KEF70_p12
NC_002631.2	4921	4989	MT	plus	tRNA-Trp		64985653	tRNA				KEF70_t07
NC_002631.2	4991	5061	MT	minus	tRNA-Ala		64985664	tRNA				KEF70_t08
NC_002631.2	5061	5134	MT	minus	tRNA-Asn		64985665	tRNA				KEF70_t09
NC_002631.2	5171	5237	MT	minus	tRNA-Cys		64985666	tRNA				KEF70_t10
NC_002631.2	5238	5308	MT	minus	tRNA-Tyr		64985667	tRNA				KEF70_t11
NC_002631.2	5344	6885	MT	plus	cytochrome c oxidase subunit I	COX1	802327	protein-coding		NP_072059.1	513	KEF70_p11
NC_002631.2	6886	6955	MT	minus	tRNA-Ser		64985649	tRNA				KEF70_t12
NC_002631.2	6958	7025	MT	plus	tRNA-Asp		64985668	tRNA				KEF70_t13
NC_002631.2	7026	7709	MT	plus	cytochrome c oxidase subunit II	COX2	802328	protein-coding		NP_072060.1	227	KEF70_p10
NC_002631.2	7712	7777	MT	plus	tRNA-Lys		64985650	tRNA				KEF70_t14
NC_002631.2	7779	7985	MT	plus	ATP synthase F0 subunit 8	ATP8	802326	protein-coding		NP_072061.1	68	KEF70_p09
NC_002631.2	7943	8623	MT	plus	ATP synthase F0 subunit 6	ATP6	802337	protein-coding		NP_072062.1	226	KEF70_p08
NC_002631.2	8623	9406	MT	plus	cytochrome c oxidase subunit III	COX3	802329	protein-coding		NP_072063.1	261	KEF70_p07
NC_002631.2	9408	9474	MT	plus	tRNA-Gly		64985651	tRNA				KEF70_t15
NC_002631.2	9475	9820	MT	plus	NADH dehydrogenase subunit 3	ND3	802332	protein-coding		NP_072064.1	115	KEF70_p06
NC_002631.2	9821	9888	MT	plus	tRNA-Arg		64985654	tRNA				KEF70_t16
NC_002631.2	9889	10185	MT	plus	NADH dehydrogenase subunit 4L	ND4L	802334	protein-coding		NP_072065.1	98	KEF70_p05
NC_002631.2	10179	11556	MT	plus	NADH dehydrogenase subunit 4	ND4	802333	protein-coding		NP_072066.1	459	KEF70_p04
NC_002631.2	11557	11624	MT	plus	tRNA-His		64985655	tRNA				KEF70_t17
NC_002631.2	11625	11682	MT	plus	tRNA-Ser		64985669	tRNA				KEF70_t18
NC_002631.2	11682	11751	MT	plus	tRNA-Leu		64985670	tRNA				KEF70_t19
NC_002631.2	11752	13560	MT	plus	NADH dehydrogenase subunit 5	ND5	802335	protein-coding		NP_072067.1	602	KEF70_p03
NC_002631.2	13557	14069	MT	minus	NADH dehydrogenase subunit 6	ND6	802336	protein-coding		NP_072068.1	170	KEF70_p02
NC_002631.2	14067	14135	MT	minus	tRNA-Glu		64985656	tRNA				KEF70_t20
NC_002631.2	14141	15280	MT	plus	cytochrome b	CYTB	802338	protein-coding		NP_072069.1	379	KEF70_p01
NC_002631.2	15288	15352	MT	plus	tRNA-Thr		64985657	tRNA				KEF70_t21
NC_002631.2	15363	15429	MT	minus	tRNA-Pro		64985671	tRNA				KEF70_t22
NW_022103896.1	10924	14260		minus	UPF0488 protein C8orf33 homolog	CUNH8orf33	123521295	protein-coding	XM_045286655.1	XP_045142590.1	287	
NW_022103896.1	13794	32878		plus	zinc finger protein 16	ZNF16	115867893	protein-coding	XM_030884540.2	XP_030740400.2	662	
NW_022103896.1	33868	38915		plus	uncharacterized gene	LOC123521160	123521160	pseudogene				
NW_022103896.1	43754	79909		plus	zinc finger protein 250 isoform X1	ZNF250	105979528	protein-coding	XM_030888025.2	XP_030743885.2	659	
NW_022103896.1	65190	71037		minus	uncharacterized gene	LOC115872882	115872882	pseudogene				
NW_022103896.1	96539	102371		minus	zinc finger protein 34	ZNF34	101638412	protein-coding	XM_045286995.1	XP_045142930.1	539	
NW_022103896.1	115028	117171		minus	60S ribosomal protein L8	RPL8	105979265	protein-coding	XM_013006439.2	XP_012861893.1	132	
NW_022103896.1	120757	131791		plus	zinc finger protein 7 isoform X1	ZNF7	123521303	protein-coding	XM_045286737.1	XP_045142672.1	741	
NW_022103896.1	146403	148780		minus	COMM domain-containing protein 5	COMMD5	101638105	protein-coding	XM_004697343.2	XP_004697400.1	224	
