Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
NW_020539888.1	136792	137603		minus	uncharacterized gene	LOC113196614	113196614	pseudogene				
NW_020539888.1	1717374	1745221		plus	uncharacterized gene	LOC113175023	113175023	pseudogene				
NW_020539888.1	1819741	1833869		plus	protein FAM98A	Fam98a	113187918	protein-coding	XM_026396071.1	XP_026251856.1	520	
NW_020539888.1	1847485	1949073		minus	ras guanyl-releasing protein 3 isoform X1	Rasgrp3	113182451	protein-coding	XM_026388411.1	XP_026244196.1	691	
NW_020539888.1	1998914	2399261		minus	latent-transforming growth factor beta-binding protein 1 isoform X1	Ltbp1	113187515	protein-coding	XM_026395397.1	XP_026251182.1	1718	
NW_020539888.1	2141407	2142385		plus	uncharacterized gene	LOC113187729	113187729	pseudogene				
NW_020539888.1	2491188	2653663		minus	tetratricopeptide repeat protein 27 isoform X1	Ttc27	113181301	protein-coding	XM_026386815.1	XP_026242600.1	847	
NW_020539888.1	2629231	2629844		plus	uncharacterized gene	LOC113194620	113194620	pseudogene				
NW_020539888.1	2667000	2876752		minus	baculoviral IAP repeat-containing protein 6 isoform X1	Birc6	113190211	protein-coding	XM_026399426.1	XP_026255211.1	4888	
NW_020539888.1	2785172	2785861		plus	uncharacterized gene	LOC113190616	113190616	pseudogene				
NW_020539888.1	2903120	2937152		minus	protein YIPF4	Yipf4	113175872	protein-coding	XM_026380561.1	XP_026236346.1	175	
NW_020539888.1	2961937	2992239		plus	NLR family CARD domain-containing protein 4 isoform X1	Nlrc4	113188344	protein-coding	XM_026396639.1	XP_026252424.1	1024	
NW_020539888.1	2995186	3040679		minus	zinc transporter 6 isoform X1	Slc30a6	113195246	protein-coding	XM_026406736.1	XP_026262521.1	461	
NW_020539888.1	3044644	3103434		minus	spastin isoform X1	Spast	113185044	protein-coding	XM_026392023.1	XP_026247808.1	616	
NW_020539888.1	3137906	3148641		plus	protein dpy-30 homolog isoform X1	Dpy30	113188800	protein-coding	XM_026397328.1	XP_026253113.1	110	
NW_020539888.1	3155286	3268305		plus	protein MEMO1	Memo1	113180739	protein-coding	XM_026385916.1	XP_026241701.1	297	
NW_020539888.1	3431754	3485236		plus	3-oxo-5-alpha-steroid 4-dehydrogenase 2	Srd5a2	113200587	protein-coding	XM_026414106.1	XP_026269891.1	255	
NW_020539888.1	3541211	3601465		plus	xanthine dehydrogenase/oxidase isoform X1	Xdh	113199142	protein-coding	XM_026412051.1	XP_026267836.1	1332	
NW_020539888.1	3642299	3673706		minus	EH domain-containing protein 3	Ehd3	113199475	protein-coding	XM_026412466.1	XP_026268251.1	535	
NW_020539888.1	3707013	3732841		plus	calpain-14 isoform X1	Capn14	113201123	protein-coding	XM_026414703.1	XP_026270488.1	686	
NW_020539888.1	3765609	3965211		plus	polypeptide N-acetylgalactosaminyltransferase 14 isoform X1	Galnt14	113191462	protein-coding	XM_026401244.1	XP_026257029.1	551	
NW_020539888.1	4060067	4118183		plus	calpain-13	Capn13	113200506	protein-coding	XM_026414005.1	XP_026269790.1	668	
NW_020539888.1	4184556	4401486		minus	lysocardiolipin acyltransferase 1	Lclat1	113196681	protein-coding	XM_026408752.1	XP_026264537.1	376	
NW_020539888.1	4571686	4594926		minus	protein LBH	Lbh	113196248	protein-coding	XM_026408061.1	XP_026263846.1	105	
NW_020539888.1	4652899	4664808		minus	protein yippee-like 5	Ypel5	113186584	protein-coding	XM_026394099.1	XP_026249884.1	121	
NW_020539888.1	4874569	5516938		plus	ALK tyrosine kinase receptor	Alk	113184009	protein-coding	XM_026390638.1	XP_026246423.1	1612	
NW_020539888.1	5526058	5582204		minus	CAP-Gly domain-containing linker protein 4	Clip4	113176718	protein-coding	XM_026381563.1	XP_026237348.1	656	
NW_020539888.1	5613597	5622693		plus	photoreceptor cilium actin regulator isoform X1	Pcare	113190035	protein-coding	XM_026399175.1	XP_026254960.1	1305	
NW_020539888.1	5634395	5685283		minus	TOG array regulator of axonemal microtubules protein 2	Togaram2	113200836	protein-coding	XM_026414443.1	XP_026270228.1	1011	
NW_020539888.1	5712155	5755359		minus	WD repeat-containing protein 43	Wdr43	113195555	protein-coding	XM_026407164.1	XP_026262949.1	679	
NW_020539888.1	5718710	5719347		plus	uncharacterized gene	LOC113195633	113195633	pseudogene				
NW_020539888.1	5730849	5730926		minus	small nucleolar RNA SNORD53/SNORD92	LOC113175873	113175873	snoRNA	XR_003300013.1			
NW_020539888.1	5731905	5731982		minus	small nucleolar RNA SNORD53/SNORD92	LOC113175812	113175812	snoRNA	XR_003300011.1			
NW_020539888.1	5740933	5741017		minus	small nucleolar RNA SNORD53/SNORD92	LOC113175924	113175924	snoRNA	XR_003300016.1			
NW_020539888.1	5765386	5778566		plus	tRNA (adenine(58)-N(1))-methyltransferase, mitochondrial	Trmt61b	113198873	protein-coding	XM_026411762.1	XP_026267547.1	477	
NW_020539888.1	5777881	5813925		minus	speedy protein A	Spdya	113198956	protein-coding	XM_026411873.1	XP_026267658.1	312	
NW_020539888.1	5823703	5863270		minus	serine/threonine-protein phosphatase PP1-beta catalytic subunit	Ppp1cb	113193651	protein-coding	XM_026404412.1	XP_026260197.1	349	
NW_020539888.1	5839456	5839798		minus	uncharacterized gene	LOC113196536	113196536	pseudogene				
NW_020539888.1	5954636	6053192		minus	phospholipase B1, membrane-associated	Plb1	113177635	protein-coding	XM_026382451.1	XP_026238236.1	1424	
NW_020539888.1	6159391	6180511		minus	fos-related antigen 2 isoform X1	Fosl2	113179294	protein-coding	XM_026383868.1	XP_026239653.1	326	
NW_020539888.1	6228462	6636869		minus	BRISC and BRCA1-A complex member 2	Babam2	113184311	protein-coding	XM_026391012.1	XP_026246797.1	383	
NW_020539888.1	6637024	6724076		plus	ribokinase isoform X1	Rbks	113186390	protein-coding	XM_026393859.1	XP_026249644.1	322	
NW_020539888.1	6725817	6734845		minus	39S ribosomal protein L33, mitochondrial	Mrpl33	113198784	protein-coding	XM_026411660.1	XP_026267445.1	87	
NW_020539888.1	6764573	6765613		minus	cofilin-1 pseudogene	LOC113192427	113192427	transcribed_pseudogene	XR_003302011.1			
NW_020539888.1	6777697	6832413		minus	kanadaptin	Slc4a1ap	113175091	protein-coding	XM_026379294.1	XP_026235079.1	741	
NW_020539888.1	6800894	6800997		minus	U6 spliceosomal RNA	LOC113175580	113175580	snRNA	XR_003299994.1			
NW_020539888.1	6832608	6842948		plus	STAGA complex 65 subunit gamma	Supt7l	113175182	protein-coding	XM_026379450.1	XP_026235235.1	412	
NW_020539888.1	6843373	6862360		minus	GPN-loop GTPase 1	Gpn1	113194690	protein-coding	XM_026405922.1	XP_026261707.1	295	
NW_020539888.1	6867130	6869871		plus	coiled-coil domain-containing protein 121 isoform X1	Ccdc121	113188647	protein-coding	XM_026397097.1	XP_026252882.1	432	
NW_020539888.1	6873324	6906445		minus	zinc finger protein 512 isoform X1	Znf512	113194037	protein-coding	XM_026404976.1	XP_026260761.1	606	
NW_020539888.1	6906690	6918451		minus	uncharacterized protein C2orf16 homolog	CUNH2orf16	113178667	protein-coding	XM_026382939.1	XP_026238724.1	1976	
NW_020539888.1	6955731	6977335		minus	glucokinase regulatory protein isoform X1	Gckr	113193291	protein-coding	XM_026403755.1	XP_026259540.1	625	
NW_020539888.1	6979130	6982268		plus	fibronectin type III domain-containing protein 4	Fndc4	113194550	protein-coding	XM_026405682.1	XP_026261467.1	221	
NW_020539888.1	6984169	7021713		plus	intraflagellar transport protein 172 homolog isoform X1	Ift172	113185399	protein-coding	XM_026392554.1	XP_026248339.1	1749	
NW_020539888.1	7018686	7022522		minus	keratinocyte-associated protein 3	Krtcap3	113185630	protein-coding	XM_026392872.1	XP_026248657.1	240	
NW_020539888.1	7022712	7033178		minus	nuclear receptor-binding protein isoform X1	Nrbp1	113188215	protein-coding	XM_026396449.1	XP_026252234.1	543	
NW_020539888.1	7057587	7057711		plus	U6atac minor spliceosomal RNA	LOC113176090	113176090	snRNA	XR_003300037.1			
NW_020539888.1	7058824	7079021		plus	protein phosphatase 1G	Ppm1g	113183405	protein-coding	XM_026389721.1	XP_026245506.1	551	
NW_020539888.1	7079611	7082597		plus	zinc finger protein 513 isoform X1	Znf513	113197804	protein-coding	XM_026410341.1	XP_026266126.1	540	
NW_020539888.1	7082669	7088710		minus	sorting nexin-17	Snx17	113197951	protein-coding	XM_026410527.1	XP_026266312.1	470	
NW_020539888.1	7088790	7093409		plus	translation initiation factor eIF-2B subunit delta isoform X1	Eif2b4	113197375	protein-coding	XM_026409707.1	XP_026265492.1	546	
NW_020539888.1	7108098	7122875		plus	general transcription factor 3C polypeptide 2 isoform X1	Gtf3c2	113175021	protein-coding	XM_026386175.1	XP_026241960.1	909	
