Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
NC_003426.1	943	1010	MT	plus	tRNA-Phe		0	other				
NC_003426.1	1011	1975	MT	plus	12S ribosomal RNA		0	other				
NC_003426.1	1976	2041	MT	plus	tRNA-Val		0	other				
NC_003426.1	2042	3621	MT	plus	16S ribosomal RNA		0	other				
NC_003426.1	3623	3697	MT	plus	tRNA-Leu		0	other				
NC_003426.1	3700	4656	MT	plus	NADH dehydrogenase subunit 1	ND1	804833	protein-coding		NP_597955.1	318	
NC_003426.1	4655	4724	MT	plus	tRNA-Ile		0	other				
NC_003426.1	4722	4794	MT	minus	tRNA-Gln		0	other				
NC_003426.1	4796	4863	MT	plus	tRNA-Met		0	other				
NC_003426.1	4864	5907	MT	plus	NADH dehydrogenase subunit 2	ND2	804834	protein-coding		NP_597956.1	347	
NC_003426.1	5906	5972	MT	plus	tRNA-Trp		0	other				
NC_003426.1	5981	6049	MT	minus	tRNA-Ala		0	other				
NC_003426.1	6050	6122	MT	minus	tRNA-Asn		0	other				
NC_003426.1	6156	6222	MT	minus	tRNA-Cys		0	other				
NC_003426.1	6222	6289	MT	minus	tRNA-Tyr		0	other				
NC_003426.1	6291	7835	MT	plus	cytochrome c oxidase subunit I	COX1	804835	protein-coding		NP_597957.1	514	
NC_003426.1	7832	7903	MT	minus	tRNA-Ser		0	other				
NC_003426.1	7908	7974	MT	plus	tRNA-Asp		0	other				
NC_003426.1	7975	8658	MT	plus	cytochrome c oxidase subunit II	COX2	804844	protein-coding		NP_597958.1	227	
NC_003426.1	8662	8729	MT	plus	tRNA-Lys		0	other				
NC_003426.1	8732	8935	MT	plus	ATP synthase F0 subunit 8	ATP8	804836	protein-coding		NP_597959.1	67	
NC_003426.1	8893	9573	MT	plus	ATP synthase F0 subunit 6	ATP6	804838	protein-coding		NP_597960.1	226	
NC_003426.1	9573	10356	MT	plus	cytochrome c oxidase subunit III	COX3	804841	protein-coding		NP_597961.1	261	
NC_003426.1	10357	10425	MT	plus	tRNA-Gly		0	other				
NC_003426.1	10426	10772	MT	plus	NADH dehydrogenase subunit 3	ND3	804845	protein-coding		NP_597962.1	115	
NC_003426.1	10773	10841	MT	plus	tRNA-Arg		0	other				
NC_003426.1	10842	11138	MT	plus	NADH dehydrogenase subunit 4L	ND4L	804842	protein-coding		NP_597963.1	98	
NC_003426.1	11132	12509	MT	plus	NADH dehydrogenase subunit 4	ND4	804839	protein-coding		NP_597964.1	459	
NC_003426.1	12510	12578	MT	plus	tRNA-His		0	other				
NC_003426.1	12579	12637	MT	plus	tRNA-Ser		0	other				
NC_003426.1	12638	12707	MT	plus	tRNA-Leu		0	other				
NC_003426.1	12708	14536	MT	plus	NADH dehydrogenase subunit 5	ND5	804837	protein-coding		NP_597965.1	606	
NC_003426.1	14512	15039	MT	minus	NADH dehydrogenase subunit 6	ND6	804843	protein-coding		NP_597966.1	175	
NC_003426.1	15040	15108	MT	minus	tRNA-Glu		0	other				
NC_003426.1	15113	16252	MT	plus	cytochrome b	CYTB	804840	protein-coding		NP_597967.1	379	
NC_003426.1	16253	16322	MT	plus	tRNA-Thr		0	other				
NC_003426.1	16323	16387	MT	minus	tRNA-Pro		0	other				
NW_025576296.1	61466	64339		minus	testis-specific Y-encoded protein 8-like	LOC123775406	123775406	protein-coding	XM_045787271.1	XP_045643227.1	413	
NW_025576303.1	125532	156471		minus	glypican-3-like	LOC123790242	123790242	protein-coding	XM_045798051.1	XP_045654007.1	74	
NW_025576304.1	21203	21321		plus	uncharacterized gene	LOC123782166	123782166	pseudogene				
NW_025576304.1	169560	169885		minus	uncharacterized gene	LOC123797429	123797429	pseudogene				
NW_025576304.1	282795	283350		plus	40S ribosomal protein S15a-like	LOC123775407	123775407	protein-coding	XM_045774402.1	XP_045630358.1	117	
NW_025576306.1	26493	31349		minus	LOW QUALITY PROTEIN: interleukin-9 receptor-like	LOC123788299	123788299	protein-coding	XM_045791635.1	XP_045647591.1	301	
NW_025576306.1	33071	36543		plus	40S ribosomal protein S27-like	RPS27L	123784969	protein-coding	XM_045786917.1	XP_045642873.1	84	
NW_025576306.1	46698	62799		minus	serine beta-lactamase-like protein LACTB, mitochondrial	LACTB	123785727	protein-coding	XM_045788015.1	XP_045643971.1	556	
NW_025576306.1	96561	103101		plus	uncharacterized LOC123794047, transcript variant X2	LOC123794047	123794047	lncRNA	XR_006780179.1			
NW_025576306.1	109227	136798		minus	tropomyosin alpha-1 chain isoform X1	TPM1	123786698	protein-coding	XM_045789357.1	XP_045645313.1	284	
NW_025576306.1	254799	255197		plus	uncharacterized gene	LOC123788490	123788490	pseudogene				
NW_025576306.1	306824	315179		minus	uncharacterized LOC123794857, transcript variant X2	LOC123794857	123794857	lncRNA	XR_006780342.1			
NW_025576306.1	344850	753480		minus	talin-2 isoform X1	TLN2	123795529	protein-coding	XM_045802709.1	XP_045658665.1	2542	
NW_025576306.1	747480	753774		plus	collagen alpha-1(I) chain-like	LOC123788363	123788363	protein-coding	XM_045791763.1	XP_045647719.1	424	
NW_025576306.1	905735	907204		plus	C2 calcium-dependent domain-containing protein 4A-like	LOC123788567	123788567	protein-coding	XM_045792097.1	XP_045648053.1	347	
NW_025576306.1	952308	978922		plus	uncharacterized LOC123788650	LOC123788650	123788650	lncRNA	XR_006778569.1			
NW_025576306.1	988899	991182		minus	C2 calcium-dependent domain-containing protein 4A	C2CD4A	123788721	protein-coding	XM_045792230.1	XP_045648186.1	357	
NW_025576306.1	998053	1169764		plus	vacuolar protein sorting-associated protein 13C isoform X1	VPS13C	123799980	protein-coding	XM_045809730.1	XP_045665686.1	3709	
NW_025576306.1	1184714	1198958		plus	uncharacterized LOC123802098	LOC123802098	123802098	lncRNA	XR_006782493.1			
NW_025576306.1	1234978	1235753		plus	uncharacterized gene	LOC123801409	123801409	pseudogene				
NW_025576306.1	1758117	2448738		plus	nuclear receptor ROR-alpha isoform X1	RORA	123802516	protein-coding	XM_045813661.1	XP_045669617.1	556	
NW_025576306.1	2463485	2533578		plus	little elongation complex subunit 2 isoform X1	ICE2	123804079	protein-coding	XM_045770533.1	XP_045626489.1	980	
NW_025576306.1	2533870	2540309		plus	uncharacterized LOC123777153	LOC123777153	123777153	lncRNA	XR_006775642.1			
NW_025576306.1	2550018	2592749		plus	annexin A2	ANXA2	123777635	protein-coding	XM_045774817.1	XP_045630773.1	339	
NW_025576306.1	2655466	2656006		plus	uncharacterized gene	LOC123788776	123788776	pseudogene				
NW_025576306.1	2777501	2779173		plus	uncharacterized gene	LOC123788838	123788838	pseudogene				
NW_025576306.1	2802993	2803258		plus	LOW QUALITY PROTEIN: ATP synthase subunit f, mitochondrial-like	LOC123788902	123788902	protein-coding	XM_045792602.1	XP_045648558.1	88	
NW_025576306.1	2913521	2914498		minus	forkhead box protein B1	FOXB1	123788971	protein-coding	XM_045792721.1	XP_045648677.1	325	
NW_025576306.1	3194864	3219397		plus	BCL2/adenovirus E1B 19 kDa protein-interacting protein 2 isoform X1	BNIP2	123778317	protein-coding	XM_045775980.1	XP_045631936.1	323	
NW_025576306.1	3220305	3240118		plus	transcription initiation factor IIA subunit 2	GTF2A2	123779443	protein-coding	XM_045777970.1	XP_045633926.1	109	
NW_025576306.1	3258482	3265104		minus	beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 3	GCNT3	123789037	protein-coding	XM_045792838.1	XP_045648794.1	438	
NW_025576306.1	3378342	3457903		minus	protein FAM81A isoform X1	FAM81A	123782649	protein-coding	XM_045783300.1	XP_045639256.1	380	
NW_025576306.1	3501944	3507500		minus	uncharacterized LOC123784064	LOC123784064	123784064	lncRNA	XR_006777381.1			
NW_025576306.1	3506699	3695548		plus	unconventional myosin-Ie isoform X1	MYO1E	123781476	protein-coding	XM_045781372.1	XP_045637328.1	1122	
NW_025576306.1	3700824	3717463		minus	G2/mitotic-specific cyclin-B2 isoform X1	CCNB2	123784090	protein-coding	XM_045785325.1	XP_045641281.1	405	
NW_025576306.1	3717649	3737287		plus	uncharacterized LOC123784633, transcript variant X2	LOC123784633	123784633	lncRNA	XR_006777528.1			
NW_025576306.1	3728940	3842074		minus	E3 ubiquitin-protein ligase Arkadia isoform X1	RNF111	123784183	protein-coding	XM_045785532.1	XP_045641488.1	1002	
NW_025576306.1	3808452	3808799		plus	uncharacterized gene	LOC123784567	123784567	pseudogene				
NW_025576306.1	3837553	3837742		plus	U2 spliceosomal RNA	LOC123789146	123789146	snRNA	XR_006778701.1			
NW_025576306.1	3842475	3884579		plus	SAFB-like transcription modulator isoform X1	SLTM	123784701	protein-coding	XM_045786147.1	XP_045642103.1	1034	
NW_025576306.1	3916835	3991241		minus	ubiquitin carboxyl-terminal hydrolase MINDY-2 isoform X1	MINDY2	123784866	protein-coding	XM_045786415.1	XP_045642371.1	632	
